region_id,region_name,asteroid_volume_mined,gas_volume_mined,ice_volume_mined,moon_volume_mined,asteroid_volume_wasted,gas_volume_wasted,ice_volume_wasted,moon_volume_wasted,month
10000025,Immensea,4976320537.35,1890380.0,1243304000.0,2538354050.0,304908303.15,249670.0,196295000.0,72277230.0,202503
10000027,Etherium Reach,1555091611.4,3383580.0,139456000.0,873152390.0,302199250.35,327330.0,36835000.0,42668850.0,202503
10000028,Molden Heath,445487133.55,7653870.0,606878000.0,239371010.0,65777913.25,1102740.0,149880000.0,11477250.0,202503
10000029,Geminate,351815593.1,1830880.0,145773000.0,305655070.0,44646724.0,145540.0,32142000.0,7661860.0,202503
10000030,Heimatar,2461951758.95,9817790.0,659891000.0,673496080.0,612817737.15,1552060.0,83543000.0,21014870.0,202503
10000031,Impass,4866723074.65,0.0,501306000.0,1453583740.0,321408920.1,0.0,89771000.0,41326580.0,202503
10000032,Sinq Laison,3328859401.8,5610960.0,1015465000.0,1400024500.0,731604372.55,591180.0,241512000.0,326838530.0,202503
10000033,The Citadel,1972799710.45,6643230.0,994065000.0,1322398860.0,565945385.25,729290.0,220180000.0,592854640.0,202503
10000034,The Kalevala Expanse,1941142107.65,3099200.0,331262000.0,659333140.0,289671661.9,421540.0,70622000.0,29949210.0,202503
10000035,Deklein,697060097.45,327740.0,113348000.0,395366870.0,39561243.85,92300.0,19519000.0,3977050.0,202503
10000036,Devoid,411803018.95,2068130.0,685579000.0,1816224670.0,82672411.35,198790.0,135353000.0,61038900.0,202503
10000037,Everyshore,1667184133.35,2403890.0,2428205000.0,1401267950.0,404009142.3,196750.0,450638000.0,184287900.0,202503
10000038,The Bleak Lands,178043919.2,1348740.0,177815000.0,85965980.0,50089279.65,236440.0,24699000.0,11143140.0,202503
10000039,Esoteria,1155138611.35,0.0,209815000.0,382099340.0,93048249.6,0.0,37924000.0,13057980.0,202503
10000040,Oasa,1480054289.75,1938840.0,495360000.0,868569280.0,120795262.65,118730.0,54649000.0,21189870.0,202503
10000041,Syndicate,136226316.95,1482740.0,85923000.0,222462870.0,29046044.0,242030.0,21236000.0,28719700.0,202503
10000042,Metropolis,3889324406.65,11345610.0,3087635000.0,1143454140.0,666159543.15,645030.0,519000000.0,167941350.0,202503
10000043,Domain,2604013094.2,5383370.0,1979332000.0,4080398430.0,592054993.9,544600.0,317901000.0,422645380.0,202503
10000044,Solitude,157727123.9,11785210.0,450241000.0,419097820.0,41999376.8,1523030.0,84679000.0,15750240.0,202503
10000045,Tenal,246337220.55,10717310.0,63353000.0,191244860.0,37217553.8,192350.0,6059000.0,21082650.0,202503
10000046,Fade,201297727.8,0.0,22036000.0,114523230.0,27368494.0,0.0,7353000.0,28392520.0,202503
10000047,Providence,575969902.9,0.0,234056000.0,364012070.0,116434113.25,0.0,67763000.0,15229780.0,202503
10000048,Placid,562642826.7,12371750.0,4301000.0,769466120.0,166797175.4,2247830.0,1212000.0,239095010.0,202503
10000049,Khanid,1200446482.15,9559810.0,384633000.0,2412789570.0,251692166.95,757650.0,78928000.0,287427520.0,202503
10000050,Querious,738803068.85,0.0,317091000.0,786734150.0,87267220.8,0.0,47736000.0,25217310.0,202503
10000051,Cloud Ring,171097861.3,23937870.0,128708000.0,200298600.0,19791094.75,618530.0,17759000.0,4338070.0,202503
10000052,Kador,1199492397.45,3811280.0,1460604000.0,2756012880.0,418103804.7,242720.0,137611000.0,561872380.0,202503
10000053,Cobalt Edge,946908423.55,495500.0,156331000.0,339941720.0,159118849.15,144700.0,32188000.0,28552040.0,202503
10000054,Aridia,786866036.15,35485390.0,314156000.0,488334400.0,237604131.75,2880710.0,59002000.0,106762420.0,202503
10000055,Branch,376268162.6,492600.0,222293000.0,322891700.0,38265255.55,27400.0,36071000.0,58612770.0,202503
10000056,Feythabolis,490721769.35,5123850.0,117352000.0,482915760.0,99551646.05,1187810.0,18517000.0,5104780.0,202503
10000057,Outer Ring,53577389.15,3074880.0,59992000.0,44498150.0,3883602.1,63570.0,2743000.0,1053290.0,202503
10000058,Fountain,3745907250.4,15687070.0,921122000.0,2202143530.0,111120342.2,1340900.0,106757000.0,95245110.0,202503
10000059,Paragon Soul,64403225.7,0.0,35614000.0,147626170.0,4468479.7,0.0,7905000.0,2400960.0,202503
10000060,Delve,301148530.25,12150030.0,87719000.0,193069650.0,73300160.45,2668210.0,20827000.0,22057370.0,202503
10000061,Tenerifis,2799989926.7,4637750.0,551531000.0,1624223640.0,172239376.05,503140.0,112728000.0,98063440.0,202503
10000062,Omist,471392369.1,427340.0,260004000.0,119386440.0,58718465.55,112930.0,94263000.0,1438430.0,202503
10000063,Period Basis,372820435.2,0.0,48548000.0,43714220.0,112251846.85,0.0,14578000.0,595270.0,202503
10000064,Essence,1811917623.15,3553560.0,950757000.0,1472113910.0,411003092.85,300020.0,155391000.0,76500800.0,202503
10000065,Kor-Azor,829466578.8,6920440.0,328901000.0,384728000.0,198074475.85,827680.0,47904000.0,48426190.0,202503
10000066,Perrigen Falls,4775840072.25,2789740.0,914878000.0,651886050.0,518624076.35,272820.0,190974000.0,17960330.0,202503
10000067,Genesis,1138164879.75,6607580.0,602880000.0,781139510.0,263210643.6,699300.0,126797000.0,197369450.0,202503
10000068,Verge Vendor,1876488943.8,1350290.0,2506000.0,539603380.0,405227321.85,103250.0,49000.0,105603700.0,202503
10000069,Black Rise,341491962.1,8778700.0,339281000.0,516374510.0,72842641.7,1450210.0,54360000.0,142601520.0,202503
10000070,Pochven,200711040.0,0.0,0.0,10540480.0,78680608.0,0.0,0.0,1553590.0,202503
10000001,Derelik,1097540463.7,20307300.0,715747000.0,1187133520.0,200206226.05,1305660.0,87086000.0,154013370.0,202504
10000002,The Forge,3222767500.75,16501100.0,4865524000.0,2499217170.0,711715968.6,2215080.0,661696000.0,629239550.0,202504
10000003,Vale of the Silent,5261087065.9,5539680.0,1327989000.0,4941510360.0,262965883.15,459900.0,233113000.0,512311300.0,202504
10000005,Detorid,1984923352.45,3024570.0,135706000.0,233978030.0,138543132.4,143630.0,25925000.0,3507550.0,202504
10000006,Wicked Creek,112808054.25,5015760.0,21269000.0,16023120.0,11741550.8,114810.0,1460000.0,1985290.0,202504
10000007,Cache,368125935.2,1033020.0,97499000.0,245419080.0,48271639.5,107190.0,12243000.0,10383850.0,202504
10000008,Scalding Pass,153813930.9,3850760.0,65738000.0,27114320.0,6740763.05,415690.0,14700000.0,3433710.0,202504
10000009,Insmother,670910283.9,6552490.0,86074000.0,397412850.0,153944229.3,145790.0,17525000.0,6166220.0,202504
10000010,Tribute,503519291.45,852880.0,636043000.0,1087856700.0,11009342.15,67560.0,50514000.0,16112760.0,202504
10000011,Great Wildlands,27354599.1,4801910.0,24960000.0,135208480.0,6456660.2,518810.0,5009000.0,5110420.0,202504
10000012,Curse,4421833.4,12307370.0,10675000.0,15077340.0,493955.0,554200.0,2664000.0,0.0,202504
10000013,Malpais,1532220525.55,4445960.0,825310000.0,585180560.0,251498570.45,674900.0,220916000.0,29482440.0,202504
10000014,Catch,868353408.75,8815260.0,445984000.0,426659060.0,53644725.0,1615670.0,38344000.0,29113460.0,202504
10000015,Venal,91982721.75,4171650.0,10142000.0,55211880.0,6075419.4,499630.0,1091000.0,6379900.0,202504
10000016,Lonetrek,2571648699.5,24040370.0,1868722000.0,1424118080.0,549992601.3,2300610.0,292986000.0,220906240.0,202504
10000018,The Spire,1005404209.05,1833720.0,204343000.0,307010090.0,208172200.35,265640.0,54386000.0,15186070.0,202504
10000020,Tash-Murkon,2624792442.1,4761870.0,1108019000.0,1170643130.0,645500139.35,254680.0,118853000.0,195949070.0,202504
10000021,Outer Passage,1016231246.55,1309150.0,132121000.0,309390740.0,127210862.1,226950.0,18935000.0,17790720.0,202504
10000022,Stain,57797460.5,51000.0,138772000.0,276235210.0,3320868.5,0.0,6399000.0,785110.0,202504
10000023,Pure Blind,842822484.15,3986160.0,170990000.0,681958670.0,72463785.1,382110.0,39122000.0,37164040.0,202504
10000025,Immensea,5653889874.9,1954730.0,1124662000.0,2174528020.0,618042396.55,245490.0,168323000.0,42888510.0,202504
10000027,Etherium Reach,1655515678.55,2892770.0,136259000.0,741687770.0,340341579.1,211900.0,28098000.0,23459910.0,202504
10000028,Molden Heath,447687403.3,7027190.0,751335000.0,282272230.0,93535791.2,956100.0,155268000.0,8446760.0,202504
10000029,Geminate,225546248.65,1747750.0,63057000.0,165452340.0,20001841.2,96750.0,15446000.0,2951370.0,202504
10000030,Heimatar,2216521399.5,9109140.0,790266000.0,731646790.0,498867139.85,1403430.0,141096000.0,23859040.0,202504
10000031,Impass,5783510821.1,0.0,648516000.0,1906528980.0,471317026.1,0.0,137534000.0,70174620.0,202504
10000032,Sinq Laison,3191593976.4,6492910.0,1040758000.0,1316301670.0,749132589.8,499720.0,246968000.0,315878280.0,202504
10000033,The Citadel,1843749991.8,4484130.0,967848000.0,1473886400.0,471352175.8,532920.0,189502000.0,687347970.0,202504
10000034,The Kalevala Expanse,3330597588.1,3095640.0,197913000.0,484259760.0,256139043.35,264620.0,52358000.0,10128170.0,202504
10000035,Deklein,734322644.3,446270.0,73609000.0,620529830.0,18268725.55,90600.0,17729000.0,1679830.0,202504
10000036,Devoid,422372611.05,1512370.0,621980000.0,1853815320.0,118752105.95,181800.0,118075000.0,62953890.0,202504
