region_name,source,quantity,month
Wicked Creek,metanox_mining,278955220348.0,202504
Wicked Creek,refinery_mining,887563820.0,202504
Wormhole (Class 1),metanox_mining,12640095940.0,202504
Wormhole (Class 1),refinery_mining,3469159728.0,202504
Wormhole (Class 2),metanox_mining,44737624686.0,202504
Wormhole (Class 2),refinery_mining,4766978694.0,202504
Wormhole (Class 3),metanox_mining,25716015683.0,202504
Wormhole (Class 3),refinery_mining,1677466670.0,202504
Wormhole (Class 4),metanox_mining,38336330641.0,202504
Wormhole (Class 4),refinery_mining,2822951074.0,202504
Wormhole (Class 5),metanox_mining,11721135015.0,202504
Wormhole (Class 5),refinery_mining,1985181688.0,202504
Wormhole (Class 6),metanox_mining,474452924.0,202504
Aridia,metanox_mining,247173240380.0,202505
Aridia,refinery_mining,141697834004.0,202505
Black Rise,metanox_mining,248428515155.0,202505
Black Rise,refinery_mining,21631471696.0,202505
Branch,metanox_mining,238525237525.0,202505
Branch,refinery_mining,317717093843.0,202505
Cache,metanox_mining,93269592140.0,202505
Cache,refinery_mining,141539997450.0,202505
Catch,metanox_mining,182308829455.0,202505
Catch,refinery_mining,1032304727039.0,202505
Cloud Ring,metanox_mining,145975466778.0,202505
Cloud Ring,refinery_mining,180581367134.0,202505
Cobalt Edge,metanox_mining,87506421486.0,202505
Cobalt Edge,refinery_mining,260872462885.0,202505
Curse,metanox_mining,227640005330.0,202505
Curse,refinery_mining,7363437158.0,202505
Deklein,metanox_mining,189631522671.0,202505
Deklein,refinery_mining,211336530804.0,202505
Delve,metanox_mining,238979837732.0,202505
Delve,refinery_mining,240914302151.0,202505
Derelik,metanox_mining,164619210945.0,202505
Derelik,refinery_mining,290536908593.0,202505
Detorid,metanox_mining,259548876880.0,202505
Detorid,refinery_mining,241508063056.0,202505
Devoid,metanox_mining,70042686422.0,202505
Devoid,refinery_mining,68415929197.0,202505
Domain,metanox_mining,125155448206.0,202505
Domain,refinery_mining,273001849425.0,202505
Esoteria,metanox_mining,136780562709.0,202505
Esoteria,refinery_mining,286147781951.0,202505
Essence,metanox_mining,113561992360.0,202505
Essence,refinery_mining,137365044658.0,202505
Etherium Reach,metanox_mining,163028665370.0,202505
Etherium Reach,refinery_mining,728039479350.0,202505
Everyshore,metanox_mining,42579847632.0,202505
Everyshore,refinery_mining,61268060128.0,202505
Fade,metanox_mining,88955051105.0,202505
Fade,refinery_mining,110028960270.0,202505
Feythabolis,metanox_mining,93694953127.0,202505
Feythabolis,refinery_mining,342685503625.0,202505
Fountain,metanox_mining,412489806066.0,202505
